Login,Name,Email,Mobile,Residence Type,Password-hashed,CPF,HDB,TP,DBS,FairPrice
S1234567A,Tester1,tester1@onepass.gov.sg,91111111,Citizen,dusc50l9pdnmus11vporzb4midtym06puov4benzs5ivlep1r8aqbmm1qkwscx2z8ci0f1qycl7hw8nnk2s2dqyurk5kbipo7dd5xsab7vhuq1owc2lqnsbkroly1sgvfe54g7k8mt163zuf0pffnj7zcofm3l5wvgs3k3z5tu7zbgwv82agjbjuzvsnvjcty9f8d65mzzddir2sbv26mvl1iwibrzt3ialhke6dmvrbdm77tz7cik5yv3132va,TRUE,FALSE,TRUE,FALSE,TRUE
S3948373B,Tester2,tester2@onepass.gov.sg,92222222,Citizen,0krvx7k0bgfqecz8d5ua6crvk27eivwc3qpydojk5xpjn9m0ciy3a471vjy57mfnqr38tpafrg5rov2oo3joh8a5d14ln22rwrcm3yzk59utcmucmj1hlv076e33b4e27nhkgn3bvfibwfy4svj3na65j4yn31yqer6sspaxonrzgmg3ox1rck910da51yl0i2gi73cpuuwteiew5hr5fjlt0b799nbfl393jy8gw0tboutq88yrpkqb6t7g3gj,TRUE,TRUE,FALSE,TRUE,FALSE
S2948573C,Tester3,tester3@onepass.gov.sg,93333333,Citizen,m1uz74j67unue6urk0c4w16b7n68zhw6l0bjgwtn0fcbev3kexq2ilii97b52riim4jgbs34ylz2qjqel5py63fl4jqzpgpyw0rl54sf9jjdru0iacv5mktfiumd7v3c98kapncjc76getsximjn6zjy7owe4zj4wokzwe4rsstofucxfy02j4v7ia9rcc3d5zmxgxjki3igbkktvxlaxa9pksi3ts7eusqptwzc1cbtnbhh9rsuz8z313tl28f,FALSE,TRUE,TRUE,TRUE,FALSE
S3049383D,Tester4,tester4@onepass.gov.sg,94444444,PR,h930t9i566sefz6jpb3matfaktbtajvpupc9o821p130f31lbz09gjrsr07gen15vdkqxvxcz2h04ffyutuiru4ly4f2pbmjfytf1o8cwvvr0vk2n4cvt10fema5d3a0ahspghgzfbwtrxhirngijla7f3pmfr40ityfzxhzp1di843nkawd4yb8rocqixjw4xcvjoyi3zj2xu6qrr6dgpdw3cw3amikagbpkrkbuvg28i4fl1onydev4akbx64,FALSE,TRUE,TRUE,FALSE,TRUE
S4938485E,Tester5,tester5@onepass.gov.sg,95555555,PR,6xll6b3xyarslulw2wln4cfe6b6zxk458jz6is90q1f1ea1ktshzbczaasilo5gqwkj5wlrpeh772ja4xyau25l9o0jgw3i9ygiyiwsyo1anl3gozgkrfav9hmrf5trbjxupey2vovji6pjau4gb63u4p37bz1jkp5y0s0rusg9mlh1ievy3366111fm7x0yhk2vhhcprziap3sgczcovpufl5i52t2lgni62xxc7giccsm4oeugz9wrugzu7kf,TRUE,FALSE,FALSE,FALSE,FALSE
S2049583F,Tester6,tester6@onepass.gov.sg,96666666,Pass,gvh2aza9jo3oevye6bt8pcedwil3xlyq8i1ukzfgi8dpjnzj1vxoljjboconu6kuxtd3p02ziaece0jtfgmm5brw2fyg0rvnqeqfk79a8zttmgepebfkcg3idtfat7q4ijxjjwuiwynz0ndsywia391oljo3mf41rbux55blkam6i661jvzbumhrx6hzcmvrigsndwqsl706y8470lb7n7nnho9e8q1atg3ybaoisb3vb479gq2daet25rzxq1b,FALSE,TRUE,FALSE,TRUE,FALSE
S2058374G,Tester7,tester7@onepass.gov.sg,97777777,Pass,aksrhyb0rj8jd5mi7bkxrbfllignwy9mc6jin7imrkdku9yqeh6plarxzy8rapss96jnxpu51isjdil7wttmqizq3g5os15zfahjn9yjr32w56jjgj6zv0294qb0in6tz01qz8iyimnay0ih4yxhoqqg3ekyjntydpboumm0cd09w594scxf5qmj1f2rb3vsro3tv5joffuj50zjdxakbgu5sjrgz3w5wjy69y7k37v5x93enbnscvjht2uaejc,TRUE,FALSE,TRUE,FALSE,FALSE
S4303398H,Tester8,tester8@onepass.gov.sg,98888888,Pass,7txzw1fk3xnvi3o36aldqi55uxpjd4jowk5sngf588yyciheb7g7q80qp961clx9dz4yopfzwzq2fls93s12ay31eqo0qar2fgd0zst1wawfbuuo5lujt3hb2fzxcik27w3c1vyv9cmyfm73fnsglzp8a04y2k2hth631fx85scqqzng0fl9wwgql7r3mj81l940iazc9y24et5h80yi1gfk5rbdym7ffctta63iesq6pei41s6nh3pn69exlmt,TRUE,TRUE,FALSE,TRUE,TRUE
T5939834I,Tester9,tester9@onepass.gov.sg,91010101,Citizen,zw51kaapvdwxmhruph14zlmy7oj30jb7ggh123q1j1qgxop9rl68setz9qfjpsg2720xfhybf347dqo77lhh93f8kntaqabt9iqmgs717jtqnbp5lyyo6dsig0txh87plobmlh9f9npag0rhglfc1r1xb7euhv1pe7j8oneoycmtf7hl6oa641zypq7ori16nsmpbarbpvr7ib8fkami1vaydp8jlotfhmlqkywavb5jfdv63ngfy3wv8vbmom1,FALSE,TRUE,FALSE,FALSE,FALSE
S5068473J,Tester10,tester110@onepass.gov.sg,91212121,Citizen,u0xi5mssq94b21l0b7c6yugz9x3llhks2kuhxmt7eamsigaka9i9nopk2jflbmj1santvxoyk9gqe25909t2g1o378k4jog37odz7egrowaa22wn8rpg3bjrw6ylsaw2jigs3fx3r5fwjrxw5vtsaoly5w0fyyqbto6c9o9ziq79zgi8ogrogpdiy8r4cj0gixu38viycykrqgwp5gzdqdaam766eekskaug5oejy2mbv9w6602ewrnhxklt7tu,TRUE,FALSE,TRUE,TRUE,TRUE
